State,totalPersonsOccupied,agricultureOccupied,manufacturingOccupied
Maine,305457,82247,115794
New Hampshire,191703,36591,94763
Vermont,144089,49599,44094
Massachusetts,1531068,74666,774308
Rhode Island,251901,12.57,141920
Connecticut,490462,47414,259084
New York,4003844,378657,1591529
New Jersey,1074360,80155,492115
Pennsylvania,3130681,362123,1251574
Ohio,1919055,419423,702882
Indiana,1036710,344454,310402
Illinois,2296778,451289,754430
Michigan,1112998,335825,362414
Wisconsin,892412,305044,279519
Minnesota,835452,287210,190927
Iowa,826313,354409,158107
Missouri,1288336,457685,303869
North Dakota,217418,130919,21339
South Dakota,219077,124951,25250
Nebraska,441114,202618,75076
Kansas,621333,274246,114053
Delaware,85863,23279,29908
Maryland,541164,117100,172155
District of Columbia,157965,1201,38804
Virginia,795568,359420,161885
West Virginia,448490,168267,96186
North Carolina,947839,612266,158412
South Carolina,728627,513021,93078
Georgia,1160126,734366,142204
Florida,322087,130782,73699
Kentucky,866980,455070,147902
Tennessee,855546,469722,123754
Alabama,997524,669607,107854
Mississippi,879645,679059,65765
Arkansas,672403,473168,66861
Louisiana,679183,348748,117330
Oklahoma,598629,350274,74217
Texas,1556866,934140,184390
Montana,178747,55017,33596
Idaho,131088,58118,23187
Wyoming,73606,25186,11329
Colorado,338724,85704,75579
New Mexico,121497,66887,15683
Arizona,87825,22416,18294
Utah,131540,37417,31143
Nevada,44910,8770,7622
Washington,521501,124872,150175
Oregon,305164,88114,82098
California,1107668,225071,293576