State,StatePop1910,StatePop1911,StatePop1912,StatePop1913,StatePop1914,StatePop1915,StatePop1916,StatePop1917,StatePop1918,StatePop1919,StatePop1890Census,StatePop1900Census,StatePop1910Census
AL,2150,2185,2217,2279,2336,2345,2359,2361,2343,2337,1513401,1828697,2138093
AZ,206,212,217,236,253,263,282,311,320,329,88243,122931,204354
AR,1583,1610,1636,1664,1688,1702,1719,1737,1749,1742,1128211,1311564,1574449
CA,2406,2534,2668,2811,2934,3008,3071,3171,3262,3339,1213398,1485053,2377549
CO,804,821,832,835,846,868,892,910,906,938,413249,539700,799024
CT,1122,1149,1176,1208,1233,1258,1294,1327,1329,1359,746258,908420,1114756
DE,203,207,209,213,216,217,219,222,220,221,168493,184735,202322
DC,334,344,340,358,368,361,360,385,418,445,230392,278718,331069
FL,756,773,801,828,871,922,924,895,865,898,391422,528542,752619
GA,2618,2644,2676,2733,2776,2810,2856,2885,2941,2870,1837353,2216331,2609121
ID,329,343,359,371,384,394,405,413,405,424,88548,161772,325594
IL,5668,5757,5828,5961,6109,6194,6274,6313,6275,6392,3826352,4821550,5638591
IN,2713,2751,2785,2824,2857,2873,2897,2910,2880,2906,2192404,2516462,2700876
IA,2228,2249,2279,2305,2338,2366,2376,2382,2351,2379,1912297,2231853,2224771
KS,1692,1684,1671,1663,1662,1687,1727,1748,1729,1756,1428108,1470495,1690949
KY,2299,2324,2347,2374,2395,2401,2411,2421,2425,2413,1858635,2147174,2289905
LA,1667,1695,1709,1727,1740,1755,1799,1795,1746,1756,1118588,1381625,1656388
ME,745,751,753,763,772,774,775,777,760,762,661086,694466,742371
MD,1302,1324,1345,1368,1389,1401,1415,1428,1467,1445,1042390,1188044,1295346
MA,3365,3383,3440,3534,3636,3705,3726,3738,3695,3785,2238947,2805346,3366416
MI,2832,2916,2997,3101,3183,3263,3353,3451,3499,3591,2093890,2420982,2810173
MN,2086,2119,2147,2190,2234,2273,2308,2329,2291,2346,1310283,1751394,2075708
MS,1802,1810,1817,1827,1832,1826,1823,1820,1813,1790,1289600,1551270,1797114
MO,3301,3317,3344,3409,3467,3492,3527,3470,3325,3371,2679185,3106665,3293335
MT,380,397,414,433,452,469,487,505,501,534,142924,243329,376053
NE,1198,1216,1232,1246,1264,1272,1275,1285,1266,1290,1062656,1066300,1192214
NV,82,81,81,82,83,82,82,81,77,77,47355,42335,81875
NH,431,432,434,439,442,443,445,447,440,443,376530,411588,430572
NJ,2550,2610,2670,2729,2789,2850,2918,2976,3043,3136,1444933,1883669,2537167
NM,329,334,338,344,348,351,354,361,382,362,160282,195310,327301
NY,9137,9249,9361,9473,9585,9700,9848,9993,9936,10252,6003174,7268894,9113614
NC,2221,2276,2313,2362,2421,2473,2513,2546,2522,2535,1617949,1893810,2206287
ND,580,584,603,609,620,641,652,661,636,648,190983,319146,577056
OH,4786,4821,4893,4997,5109,5251,5366,5510,5547,5683,3672329,4157545,4767121
OK,1671,1714,1737,1777,1824,1860,1907,1960,1969,2003,258657,790391,1657155
OR,677,692,706,722,736,745,756,763,763,774,317704,413536,672765
PA,7706,7850,7986,8139,8276,8362,8463,8578,8524,8643,5258113,6302115,7665111
RI,545,556,567,578,589,597,598,606,604,603,345506,428556,542610
SC,1523,1548,1572,1599,1622,1635,1650,1675,1746,1687,1151149,1340316,1515400
SD,590,602,592,584,581,585,595,599,570,606,348600,401570,583888
TN,2191,2197,2218,2257,2289,2294,2304,2331,2288,2305,1767518,2020616,2184789
TX,3922,4016,4107,4207,4300,4368,4444,4563,4666,4631,2235527,3048710,3896542
UT,377,387,399,410,422,430,436,444,437,446,210779,276749,373351
VT,357,358,359,361,362,360,360,372,352,352,332422,343641,355956
VA,2071,2092,2122,2176,2241,2294,2316,2313,2359,2318,1655980,1854184,2061612
WA,1148,1167,1184,1209,1231,1239,1255,1287,1341,1333,357232,518103,1141990
WV,1231,1266,1291,1317,1362,1387,1414,1439,1438,1464,762794,958800,1221119
WI,2345,2369,2407,2438,2490,2535,2562,2587,2597,2600,1693330,2069042,2333860
WY,147,150,153,157,163,167,174,186,181,191,62555,92531,145965