State,InfluPneumMort1917,InfluPneumMort1918
California,1.2,5.4
Colorado,1.5,7.7
Connecticut,2.2,7.7
Illinois,,5
Indiana,1.5,4.1
Kansas,1.4,4.7
Kentucky,1.4,5.4
Louisiana,,5.4
Maine,1.9,5.9
Maryland,2.1,8
Massachusetts,1.8,7.3
Michigan,1.4,3.9
Minnesota,1.1,3.9
Missouri,1.8,4.8
Montana,1.5,7.8
New Hampshire,1.9,7.5
New Jersey,1.9,7.7
New York,1.9,6
North Carolina,1.2,5
Ohio,1.6,4.9
Oregon,,3.3
Pennsylvania,2.1,8.8
Rhode Island,2.1,6.8
South Carolina,1.4,6.3
Tennessee,1.4,4.8
Utah,1.2,5.1
Vermont,2,6
Virginia,1.4,6.2
Washington,0.8,4.1
Wisconsin,1.4,4.1